25/08/18 05:59:54 12.910 -89.750  10 3.6 C  76 Km al sur de Acajutla, El Salvador
25/08/18 06:11:01 12.840 -89.830   2 2.9 C  83 Km al sur de Acajutla, El Salvador
25/08/18 06:29:18 12.660 -88.730  27 3.2 C  67 Km al sur de Delta del Rio Lempa, El Salvador
25/08/18 08:02:42 11.590 -86.010 141 2.5 C  20 Km al noreste de El Astillero, Nicaragua
25/08/18 08:55:07  0.030 -80.310   1 4.2 C  28 Km al oeste de Pedernales, Ecuador
25/08/18 12:05:40 12.910 -89.790  13 3.1 C  76 Km al sur de Acajutla, El Salvador
25/08/18 16:02:55 14.110 -89.800   4 2.9 C  22 Km al sureste de Jutiapa, Guatemala
25/08/18 17:13:56 14.500 -90.680   4 2.7 C   8 Km al sureste de Antigua Guatemala, Guatemala
25/08/18 17:23:49 14.560 -90.640  11 2.4 C  10 Km al norte de Antigua Guatemala, Guatemala
25/08/18 19:46:50  9.230 -84.050  24 3.2 C  21 Km al oeste de Dominical, Costa Rica
25/08/18 23:53:51 13.210 -88.650  32 1.9 A  20 Km al norte de Delta del Rio Lempa, El Salvador
25/08/18 23:53:46 12.920 -88.750  36 2.5 C  38 Km al sur de Delta del Rio Lempa, El Salvador
25/08/19 00:17:40  2.170 -79.850 139 4.1 A 133 Km al norte de Esmeraldas, Ecuador
25/08/19 00:42:28 13.800 -91.390   5 3.6 A  20 Km al sur de Tecojate, Guatemala
25/08/19 00:42:28 13.800 -91.390   5 3.7 A  20 Km al sur de Tecojate, Guatemala
25/08/19 00:42:29 13.790 -91.410  13 3.5 C  21 Km al sur de Tecojate, Guatemala
25/08/19 02:01:01 14.070 -90.700  16 2.5 A  16 Km al norte de Iztapa, Guatemala
25/08/19 02:00:56 13.790 -90.240   6 2.5 C   5 Km al sureste de Las Brisas, Guatemala
25/08/19 02:05:38 14.460 -90.890 163 4.1 C  20 Km al suroeste de Antigua Guatemala, Guatemala
25/08/19 02:07:35 12.150 -86.640   1 2.9 C  13 Km al noreste de El Transito, Nicaragua
25/08/19 03:43:19 13.310 -92.180   5 3.7 A 107 Km al suroeste de Tulate, Guatemala
25/08/19 03:43:22 13.400 -92.080  23 3.8 C  93 Km al suroeste de Tulate, Guatemala
25/08/19 04:16:27 13.900 -91.350  23 3.0 C   8 Km al sur de Tecojate, Guatemala
25/08/19 04:51:07 12.680 -87.980   1 2.4 C  41 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/19 06:16:14 14.100 -89.820   8 2.4 C  20 Km al norte de Ahuachapan, El Salvador
25/08/19 04:51:05 12.700 -88.050  15 2.4 C  45 Km al suroeste de Punta Cosigüina, Nicaragua
